name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
ukraine,2022-02-24,5.3,1.9,2.9,5.3,-0.6,1.9,1.2,88.9,0.1,100,4.17,"rain,snow",0,0,28.8,14.2,269,1021.9,99.7,9.3,32.6,2.8,2,10,2022-02-24T06:52:22,2022-02-24T17:30:44,0.75,"Snow, Rain, Overcast",Cloudy skies throughout the day with morning rain or snow.,rain,"UKKK,UKBB,33347099999,33345199999,33345099999,remote,UKKM"
ukraine,2022-02-25,6,-1,2.6,4.5,-1,1.2,-0.4,81.9,0,0,0,,0,0,24.1,14.4,180.8,1018,75,8.3,126.2,10.9,4,10,2022-02-25T06:50:21,2022-02-25T17:32:27,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UKKK,33345099999"
ukraine,2022-02-26,8,0,3.8,4.7,-3.1,0.8,-2.7,65.9,0,0,0,rain,0,0,40.3,25.2,353.9,1023.6,67,13.4,120.7,10.4,4,10,2022-02-26T06:48:19,2022-02-26T17:34:10,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UKKK,33345099999,remote"
ukraine,2022-02-27,4.8,-0.9,1.3,1.9,-3.9,-1.5,-4.6,66,0,0,0,snow,0,0,29.9,13,355.8,1031.4,37.2,21.8,82,7.2,3,10,2022-02-27T06:46:16,2022-02-27T17:35:52,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
ukraine,2022-02-28,2.8,-3.6,-0.7,-1.3,-7.6,-4.5,-6.9,64.4,0,0,0,,0,0,39.2,17.3,16.1,1032.5,57.9,24.1,136.4,11.9,4,10,2022-02-28T06:44:12,2022-02-28T17:37:34,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
ukraine,2022-03-01,1.8,-1.8,-0.2,-1.5,-6.6,-4.2,-3.7,77.8,0.6,100,16.67,snow,1,0.5,35.6,15.1,29.9,1029.2,99,13.5,52,3.8,2,10,2022-03-01T06:42:08,2022-03-01T17:39:16,0.95,"Snow, Overcast",Cloudy skies throughout the day with snow clearing later.,snow,remote
ukraine,2022-03-02,3.8,-0.4,1.3,1,-4.2,-1.7,-0.8,86.2,1.2,100,45.83,snow,0.6,0.3,31.7,14,42.1,1021,98.9,4.7,38.5,3,1,10,2022-03-02T06:40:03,2022-03-02T17:40:57,0,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,remote
ukraine,2022-03-03,3.3,0.4,1.5,0.7,-1.7,-0.7,0,90.2,0.3,100,12.5,"rain,snow",0,0.6,23.8,10.4,357.3,1012.5,96.5,11.9,81.3,5.8,2,10,2022-03-03T06:37:57,2022-03-03T17:42:39,0.02,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,remote
ukraine,2022-03-04,3.3,-0.7,1.1,-0.9,-5.3,-3,-2.5,78.1,0.9,100,25,"rain,snow",0.2,0.5,42.1,19.1,337.2,1012.2,98.5,13.7,66.6,4.9,2,10,2022-03-04T06:35:50,2022-03-04T17:44:20,0.05,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,snow,remote
ukraine,2022-03-05,1.8,-1.8,-0.3,-1.5,-6.3,-4.2,-5.4,68.9,0,0,0,snow,0.1,1.1,38.9,17.3,351.2,1018.1,98.6,20,63.4,4.4,2,10,2022-03-05T06:33:43,2022-03-05T17:46:00,0.09,Overcast,Cloudy skies throughout the day.,snow,"remote,33345099999"
